ticker,file,reported_count,actual_count,valid_count,invalid_count,count_mismatch,load_error,start_date,end_date,first_open,last_close,total_return_pct,min_low,max_high,avg_volume,avg_dollar_volume,avg_transactions,daily_return_vol_pct
A,A.json,501,501,501,0,False,,2024-08-14,2026-08-13,137.93,149.29,8.236061770463277,96.43,160.27,1959480.4267447067,251722324.21207535,31546.19760479042,1.9873945104207453
AA,AA.json,501,501,501,0,False,,2024-08-14,2026-08-13,31.81,49.59,55.89437283872998,21.53,84.38,5946343.419830523,255453286.31768578,62853.58483033932,3.406670500493551
AAL,AAL.json,501,501,501,0,False,,2024-08-14,2026-08-13,9.88,15.06,52.42914979757085,8.5,19.1,60947684.49512887,808314392.501312,119493.79241516966,3.2723297316767646
AAOI,AAOI.json,501,501,501,0,False,,2024-08-14,2026-08-13,8.11,130.08,1503.945745992602,7.72,233.67,6271611.460253316,489166437.4649654,78649.60678642715,8.76446323130273
AAON,AAON.json,501,501,501,0,False,,2024-08-14,2026-08-13,88.11,87.67,-0.4993757802746579,62.0,150.4599,909264.2677558083,87879160.36145431,17636.329341317367,3.7772632811174884
AAP,AAP.json,501,501,501,0,False,,2024-08-14,2026-08-13,60.65,57.36,-5.4245671887881315,28.8901,70.0,2247424.1729382337,107278391.33160314,31439.19760479042,4.305513045456378
AAPL,AAPL.json,501,501,501,0,False,,2024-08-14,2026-08-13,220.57,305.26,38.395974067189556,169.2101,344.5699,51822627.820222214,12737591052.072863,672809.6966067865,1.8098775285176303
ABBV,ABBV.json,501,501,501,0,False,,2024-08-14,2026-08-13,191.0,250.82,31.31937172774868,163.81,267.47,6343331.773714067,1312676741.5008962,83474.32534930139,1.7029351801991035
ABCB,ABCB.json,501,501,501,0,False,,2024-08-14,2026-08-13,56.39,89.39,58.52101436424897,48.27,93.22,449889.85170296807,32510382.888241027,9354.66866267465,1.8086838282223598
ABCL,ABCL.json,501,501,501,0,False,,2024-08-14,2026-08-13,2.72,10.97,303.30882352941177,1.8906,11.065,4805068.738119973,20760414.60057553,19605.918163672653,5.004866713480419
ABG,ABG.json,501,501,501,0,False,,2024-08-14,2026-08-13,228.86,210.58,-7.987415887442106,172.01,312.56,209899.2773508064,48070657.66618843,8107.500998003992,2.2158770324886334
ABM,ABM.json,501,501,501,0,False,,2024-08-14,2026-08-13,53.2,48.12,-9.54887218045114,36.962,59.78,530776.5604931058,24746387.799599737,9905.397205588823,1.8610780944828413
ABNB,ABNB.json,501,501,501,0,False,,2024-08-14,2026-08-13,117.72,185.13,57.26299694189603,99.88,187.12,4699886.497449046,617695188.0748103,72345.42315369261,2.335036092620574
ABR,ABR.json,501,501,501,0,False,,2024-08-14,2026-08-13,13.57,5.26,-61.238025055268984,4.73,15.94,3384127.9281596425,33338615.126458008,20260.978043912175,2.455934655968068
ABT,ABT.json,501,501,501,0,False,,2024-08-14,2026-08-13,108.07,111.27,2.9610437679282064,81.97,141.23,7899060.478796297,900178318.3947443,88105.27145708582,1.528057856002547
ACAD,ACAD.json,501,501,501,0,False,,2024-08-14,2026-08-13,15.74,28.38,80.30495552731894,13.4,29.85,1839520.043310022,38581402.592273295,21070.045908183634,2.7446930751483225
ACGL,ACGL.json,501,501,501,0,False,,2024-08-14,2026-08-13,97.99,98.03,0.04082049188693926,82.445,116.47,1988867.8617132674,188136259.62408727,31198.818363273454,1.5322046331886532
ACHR,ACHR.json,501,501,501,0,False,,2024-08-14,2026-08-13,3.61,6.97,93.07479224376732,2.8206,14.62,36174995.597604394,296734631.97049016,100259.12175648703,5.616164420873747
ACI,ACI.json,501,501,501,0,False,,2024-08-14,2026-08-13,19.8,12.4,-37.37373737373737,10.86,23.2,6545065.13023087,118627282.36258443,38830.54091816367,2.0800420292089163
ACIW,ACIW.json,501,501,501,0,False,,2024-08-14,2026-08-13,47.34,53.66,13.350232361639192,38.0545,61.08,790054.5958251937,38453781.1174601,14165.820359281437,2.209891650593588
ACLS,ACLS.json,501,501,501,0,False,,2024-08-14,2026-08-13,114.0,143.03,25.464912280701757,40.4,193.78,640097.0114942176,57801610.78920366,14837.221556886228,3.756964898730218
ACM,ACM.json,501,501,501,0,False,,2024-08-14,2026-08-13,95.37,63.61,-33.30187690049282,60.3495,135.52,1207954.859297108,116220671.69456336,20009.680638722555,1.9116285687986747
ACMR,ACMR.json,501,501,501,0,False,,2024-08-14,2026-08-13,19.48,81.19,316.7864476386037,13.87,127.19,1447485.7946823693,56620384.24497656,21231.269461077845,5.087885848082092
ACN,ACN.json,501,501,501,0,False,,2024-08-14,2026-08-13,320.0,178.49,-44.221875,118.15,398.35,4597615.669681473,1111168838.8726838,70354.93612774451,2.2985307254964296
ACWI,ACWI.json,501,501,501,0,False,,2024-08-14,2026-08-13,112.52,162.48,44.40099537859936,101.25,162.7975,3389153.1565669184,456549766.2267011,29386.600798403193,0.9943074725383413
ADBE,ADBE.json,501,501,501,0,False,,2024-08-14,2026-08-13,536.62,270.49,-49.59375349409265,190.12,587.75,4428112.332324843,1510238729.2689602,108644.8862275449,2.300356885609487
ADC,ADC.json,501,501,501,0,False,,2024-08-14,2026-08-13,71.97,75.11,4.3629289981936825,67.58,82.08,1126856.3490272553,84035547.42953417,17639.784431137723,1.0806877279945613
ADI,ADI.json,501,501,501,0,False,,2024-08-14,2026-08-13,216.92,381.17,75.71915913700906,158.65,445.91,3765927.6200292516,1031278295.154327,66900.49900199601,2.3849974813993993
ADM,ADM.json,501,501,501,0,False,,2024-08-14,2026-08-13,58.38,80.15,37.290167865707446,40.98,88.46,3613065.15032295,217969917.41761974,44418.35528942116,1.7363970323418643
ADMA,ADMA.json,501,501,501,0,False,,2024-08-14,2026-08-13,17.63,9.41,-46.6250709018718,7.2101,25.67,3825442.7336257906,59308181.85156445,32567.652694610777,3.601845907399262
ADP,ADP.json,501,501,501,0,False,,2024-08-14,2026-08-13,260.91,276.23,5.871756544402285,188.16,329.9295,2191461.7530801157,574233177.3023521,43492.05788423154,1.4652896951616805
ADPT,ADPT.json,501,501,501,0,False,,2024-08-14,2026-08-13,4.61,24.46,430.58568329718,3.981,26.155,1979952.712228952,25882235.020713285,21816.221556886227,4.7792009439280205
ADSK,ADSK.json,501,501,501,0,False,,2024-08-14,2026-08-13,244.61,257.96,5.457667307141967,185.5,329.09,1769827.2625432014,472465071.30303526,40831.33133732535,2.0223389837922006
ADT,ADT.json,501,501,501,0,False,,2024-08-14,2026-08-13,7.19,7.47,3.894297635605004,6.24,8.935,10422965.216554554,81111501.59996143,33291.49101796407,1.913073586781031
ADTN,ADTN.json,501,501,501,0,False,,2024-08-14,2026-08-13,4.86,8.07,66.0493827160494,4.725,19.98,1407335.0833938203,15143228.678070815,13975.868263473054,3.9235663012124555
ADUS,ADUS.json,501,501,501,0,False,,2024-08-14,2026-08-13,129.19,117.59,-8.979023144206199,87.95,136.72,190573.92925636924,20872349.75774099,6104.72255489022,1.87642383912042
AEE,AEE.json,501,501,501,0,False,,2024-08-14,2026-08-13,81.01,109.12,34.69941982471298,80.57,118.32,1647419.59819098,165635846.1666078,25447.425149700597,1.1143402078641433
AEHR,AEHR.json,501,501,501,0,False,,2024-08-14,2026-08-13,13.9,123.3,787.0503597122301,6.27,133.35,1589900.51712495,68952308.5275836,21767.848303393213,7.105217381333537
AEIS,AEIS.json,501,501,501,0,False,,2024-08-14,2026-08-13,103.25,329.54,219.16707021791768,75.01,397.44,482471.9725970459,112223322.74254534,13197.720558882236,3.442985374346266
